order_month,is_new_order,order_count,avg_order_amount
2021-01,TRUE,872,1268916
2021-01,FALSE,17238,1152638
2021-02,TRUE,783,1069010
2021-02,FALSE,15958,1194741
2021-03,TRUE,874,1172771
2021-03,FALSE,18337,1189115
2021-04,TRUE,744,1419902
2021-04,FALSE,18074,1238859
2021-05,TRUE,468,996159
2021-05,FALSE,19595,1207289
2021-06,TRUE,768,1138996
2021-06,FALSE,18937,1215199
2021-07,TRUE,1612,1257916
2021-07,FALSE,20566,1119345
2021-08,TRUE,1170,1470225
2021-08,FALSE,21766,1167720
2021-09,TRUE,976,963761
2021-09,FALSE,22062,1206822
2021-10,TRUE,1053,992504
2021-10,FALSE,23623,1183394
2021-11,TRUE,1008,1081255
2021-11,FALSE,24055,1175934
2021-12,TRUE,460,1016434
2021-12,FALSE,25217,1175000
